E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0020;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Heta                                              ;Tuura                                             ;2;057;työsuojeluvaltuutettu, ympäristösuunnittelija                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0021;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jani (Wallu)                                      ;Valpio                                            ;1;045;freelancer                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0022;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna                                              ;Vuorjoki                                          ;2;042;psykologi                                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000650;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0023;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mika                                              ;Välipirtti                                        ;1;052;projektipäällikkö                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0024;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Alviina                                           ;Alametsä                                          ;2;026;projektipäällikkö, valtiotieteiden kandidaatti                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0001273;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0025;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Outi                                              ;Alanko-Kahiluoto                                  ;2;052;kansanedustaja, tutkija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;EKV-2015  ;0007884;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0026;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Fatim                                             ;Diarra                                            ;2;032;yhteiskunnallisen viestinnän asiantuntija                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0027;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Haavisto                                          ;1;061;kansanedustaja, puolueen puheenjohtaja                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;EKV-2015  ;0014204;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0028;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Atte                                              ;Harjanne                                          ;1;034;tutkija, diplomi-insinööri                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0029;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kaisa                                             ;Hernberg                                          ;2;042;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0002053;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0030;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mari                                              ;Holopainen                                        ;2;038;kauppatieteiden maisteri, väitöskirjatutkija                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0003594;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0031;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Timo                                              ;Huhtamäki                                         ;1;034;markkinapaikkajohtaja, Master of Business Administration                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0032;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kati                                              ;Juva                                              ;2;061;dosentti, erikoislääkäri                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0001128;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0033;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Emma                                              ;Kari                                              ;2;035;kansanedustaja, filosofian maisteri                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;EKV-2015  ;0004647;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0034;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Otso                                              ;Kivekäs                                           ;1;039;Chief Digital Officer, filosofian maisteri                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0003473;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0035;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kasper                                            ;Kivistö                                           ;1;030;liikenneopettaja                                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0036;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Leisti                                            ;1;052;toimitusjohtaja, yrittäjä                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0037;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Maria                                             ;Ohisalo                                           ;2;034;puolueen varapuheenjohtaja, köyhyystutkija                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0004087;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0038;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Bicca                                             ;Olin                                              ;2;020;liittopuheenjohtaja, förbundsordförande                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0039;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Amanda                                            ;Pasanen                                           ;2;024;Vihreiden nuorten ja opiskelijoiden liiton puheenjohtaja, luonnontieteiden kandidaatti, ordförande för Gröna ungas och studerandes förbund, kandidat i naturvetenskaper                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0040;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Noora                                             ;Shingler                                          ;2;038;toimittaja, tuottaja, redaktör, producent                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0041;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Oula                                              ;Silvennoinen                                      ;1;048;dosentti, akatemiatutkija                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
